max,test 0,test 1,test 2,test 3,test 4,test 5,test 6,test 7,test 8,test 9,average
86.0,86.0,86.0,85.0,86.0,86.0,86.0,82.0,86.0,86.0,86.0,85.5
86.0,85.0,83.0,85.0,84.0,83.0,86.0,84.0,86.0,86.0,86.0,84.8
86.0,84.0,84.0,86.0,86.0,84.0,86.0,86.0,86.0,84.0,86.0,85.2
85.0,83.0,84.0,84.0,83.0,82.0,81.0,83.0,82.0,83.0,85.0,83.0
85.0,85.0,83.0,82.0,82.0,83.0,83.0,83.0,83.0,85.0,85.0,83.4
86.0,83.0,84.0,83.0,83.0,83.0,84.0,86.0,86.0,86.0,86.0,84.4
85.0,85.0,85.0,84.0,84.0,85.0,85.0,84.0,85.0,85.0,83.0,84.5
84.0,82.0,82.0,82.0,82.0,81.0,84.0,82.0,82.0,82.0,83.0,82.2
85.0,84.0,84.0,83.0,83.0,83.0,83.0,83.0,85.0,85.0,85.0,83.8
86.0,83.0,83.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,85.4
